Model,Marka,Temiz,Etiket
Fiat Egea 1.3 Multijet Easy,Fiat,fiat egea multijet easy,1
Ford Focus 1.6 TDCi Trend X,Ford,ford focus tdci trend x,2
Ford Ka 1.3,Ford,ford,2
Renault Fluence 1.5 dCi Dynamique,Renault,renault fluence dci dynamique,0
Mercedes - Benz E 180 Premium,Mercedes - Benz,mercedes benz premium,11
Hyundai Accent Blue 1.6 CRDI Mode Plus,Hyundai,hyundai accent blue crdı mode plus,8
Volvo S80 1.6 T4 Advance,Volvo,volvo s t advance,25
Renault Fluence 1.5 dCi Business,Renault,renault fluence dci business,0
Hyundai Accent 1.3 LS,Hyundai,hyundai accent ls,8
Opel Astra 1.6 Enjoy,Opel,opel astra enjoy,9
Fiat Linea 1.4 Fire Active Plus,Fiat,fiat linea fire active plus,1
Renault Megane 1.5 Blue DCI Touch,Renault,renault megane blue dcı touch,0
Fiat Linea 1.3 Multijet Urban,Fiat,fiat linea multijet urban,1
Fiat Albea 1.3 Multijet Active,Fiat,fiat albea multijet active,1
Volkswagen Jetta 1.6 TDi Comfortline,Volkswagen,volkswagen jetta tdi comfortline,6
Opel Astra 1.6 Enjoy Plus,Opel,opel astra enjoy plus,9
Tofaş Şahin 5 Vites,Tofaş,tofaş şahin vites,4
Fiat Punto Grande 1.3 Multijet Active,Fiat,fiat punto grande multijet active,1
Volkswagen Polo 1.2 TDi Trendline,Volkswagen,volkswagen polo tdi trend,6
Tofaş Kartal S,Tofaş,tofaş kartal s,4
Mercedes - Benz E 200,Mercedes - Benz,mercedes benz,11
Fiat Linea 1.3 Multijet Pop,Fiat,fiat linea multijet pop,1
Volkswagen Passat 1.6 TDi BlueMotion Comfortline,Volkswagen,volkswagen passat tdi bluemotion comfortline,6
Tofaş Şahin 1.6,Tofaş,tofaş şahin,4
Opel Corsa 1.2 Essentia,Opel,opel corsa essentia,9
Honda Jazz 1.4 ES,Honda,honda jazz es,17
Volkswagen Polo 1.4 Comfortline,Volkswagen,volkswagen polo comfortline,6
Renault Megane 1.5 dCi Touch,Renault,renault megane dci touch,0
Fiat Punto EVO 1.3 Multijet Dynamic,Fiat,fiat punto evo multijet dynamic,1
Volkswagen Polo 1.6 Comfortline,Volkswagen,volkswagen polo comfortline,6
Opel Astra 1.4 T Sport,Opel,opel astra t sport,9
Renault Clio 1.5 dCi SportTourer Joy,Renault,renault clio dci sporttourer joy,0
Renault Clio 1.6 RTE,Renault,renault clio rte,0
Renault Megane 1.5 dCi Touch Plus,Renault,renault megane dci touch plus,0
Seat Altea 1.9 TDI Style,Seat,seat altea tdı style,14
Volkswagen Golf 1.6 TDi BlueMotion Comfortline,Volkswagen,volkswagen golf tdi bluemotion comfortline,6
Renault Fluence 1.5 dCi Joy,Renault,renault fluence dci joy,0
Renault Megane 1.6 Joy,Renault,renault megane joy,0
Peugeot 308 1.6 HDi Comfort Pack,Peugeot,peugeot hdi comfort pack,5
Opel Corsa 1.3 CDTI Essentia,Opel,opel corsa cdtı essentia,9
Chevrolet Aveo 1.4 LT,Chevrolet,chevrolet aveo lt,20
Volkswagen Polo 1.6 TDi Comfortline,Volkswagen,volkswagen polo tdi comfortline,6
Dacia Sandero 1.5 dCi Stepway,Dacia,dacia sandero dci stepway,19
Renault Fluence 1.5 dCi Icon,Renault,renault fluence dci ıcon,0
Mercedes - Benz C 180 Kompressor BlueEFFICIENCY AMG,Mercedes - Benz,mercedes benz c kompressor blueeffıcıency amg,11
Citroen C1 1.0 VTi Shine,Citroen,citroen c vti shine,3
Ford Fiesta 1.5 TDCi Trend X,Ford,ford fiesta tdci trend x,2
Fiat Palio 1.2 EL,Fiat,fiat palio el,1
Volkswagen Jetta 1.2 TSi Trendline,Volkswagen,volkswagen jetta tsi trend,6
Ford Focus 1.6 TDCi Trend X,Ford,ford focus tdci trend x,2
Fiat Egea 1.6 Multijet Lounge,Fiat,fiat egea multijet lounge,1
Citroen C3 1.4 X Furio,Citroen,citroen c x furio,3
Honda Civic 1.6 i-VTEC ES,Honda,honda civic vtec es,17
Skoda SuperB 1.6 TDI Prestige,Skoda,skoda superb tdı prestige,7
Renault Symbol 1.5 dCi Expression,Renault,renault symbol dci expression,0
Fiat Albea Sole 1.4 Fire Premio,Fiat,fiat albea sol fire premio,1
Skoda Fabia 1.4 Comfort,Skoda,skoda fabia comfort,7
Renault Megane 1.5 dCi Joy,Renault,renault megane dci joy,0
BMW 5 Serisi 520d Exclusive,BMW,bmw seri d exclusive,12
Seat Ibiza 1.6 Signo,Seat,seat ıbiza signo,14
Ford Fusion 1.4 TDCi Collection,Ford,ford fusion tdci collection,2
Hyundai Accent Era 1.4 Start,Hyundai,hyundai accent era start,8
Renault R 9 1.4 Broadway,Renault,renault r broadway,0
Honda Civic 1.6 i-VTEC ECO Elegance,Honda,honda civic vtec eco elegance,17
Volkswagen VW CC 1.4 TSi,Volkswagen,volkswagen vw cc tsi,6
Renault Clio 1.3 TCe Touch,Renault,renault clio tce touch,0
Toyota Corolla 1.4 D-4D Active,Toyota,toyota corolla d d active,13
Audi A6 Sedan 3.0 TDI Quattro,Audi,audi seda tdı quattro,15
Fiat Linea 1.3 Multijet Active,Fiat,fiat linea multijet active,1
Peugeot 307 1.6 Envy,Peugeot,peugeot envy,5
Toyota Corolla 1.6 XL,Toyota,toyota corolla xl,13
Fiat Palio 1.6 HL,Fiat,fiat palio hl,1
Volkswagen Polo 1.4 Comfortline,Volkswagen,volkswagen polo comfortline,6
Hyundai Accent Era 1.5 CRDi Select,Hyundai,hyundai accent era crdi select,8
Renault Clio 1.0 TCe Joy,Renault,renault clio tce joy,0
Audi A3 Sedan 1.6 TDI Ambition,Audi,audi seda tdı ambition,15
BMW 3 Serisi 316i Comfort,BMW,bmw seri comfort,12
Toyota Corolla 1.6 XEi,Toyota,toyota corolla xei,13
Hyundai Accent 1.5 GLS,Hyundai,hyundai accent gls,8
Volkswagen Golf 1.4 TSi Comfortline,Volkswagen,volkswagen golf tsi comfortline,6
Honda Civic 1.6 i-VTEC Elegance,Honda,honda civic vtec elegance,17
Fiat Linea 1.3 Multijet Pop,Fiat,fiat linea multijet pop,1
Renault Clio 1.5 dCi Touch,Renault,renault clio dci touch,0
Opel Astra 1.6 Enjoy 111.Yıl,Opel,opel astra enjoy yıl,9
Citroen C4 1.6 HDi SX,Citroen,citroen c hdi sx,3
Renault Megane 1.3 TCe Joy,Renault,renault megane tce joy,0
Fiat Egea 1.3 Multijet Easy,Fiat,fiat egea multijet easy,1
Volkswagen Jetta 1.6 TDi Comfortline,Volkswagen,volkswagen jetta tdi comfortline,6
Fiat Linea 1.3 Multijet Pop,Fiat,fiat linea multijet pop,1
Honda Civic 1.6 i-VTEC Premium,Honda,honda civic vtec premium,17
Volkswagen Passat 1.4 TSi BlueMotion Trendline,Volkswagen,volkswagen passat tsi bluemotion trend,6
Tofaş Şahin 5 Vites,Tofaş,tofaş şahin vites,4
Kia Rio 1.3 Comfort,Kia,kia rio comfort,16
Opel Corsa 1.4 Swing,Opel,opel corsa swing,9
Volkswagen VW CC 1.4 TSi,Volkswagen,volkswagen vw cc tsi,6
Honda Civic 1.5 i-VTEC Sport,Honda,honda civic vtec sport,17
Fiat Palio 1.3 Multijet EL,Fiat,fiat palio multijet el,1
Fiat Albea 1.2 SL,Fiat,fiat albea sl,1
Chevrolet Cruze 1.6,Chevrolet,chevrolet cruze,20
Opel Vectra 2.0 CD,Opel,opel vectra cd,9
Mercedes - Benz CLA 200 AMG,Mercedes - Benz,mercedes benz cla amg,11
Renault Fluence 1.5 dCi Joy,Renault,renault fluence dci joy,0
Mercedes - Benz E 200 Kompressor Avantgarde,Mercedes - Benz,mercedes benz kompressor avantgarde,11
Renault Symbol 1.5 dCi Joy,Renault,renault symbol dci joy,0
BMW 3 Serisi 320d Comfort,BMW,bmw seri d comfort,12
Renault Megane 1.5 dCi Touch,Renault,renault megane dci touch,0
Ford Focus 1.5 TDCi Titanium,Ford,ford focus tdci titanium,2
Renault Megane 1.5 dCi Touch,Renault,renault megane dci touch,0
Ford Focus 1.5 TDCi Titanium,Ford,ford focus tdci titanium,2
Audi A3 Cabrio 1.4 TFSI Ambition,Audi,audi cabrio tfsı ambition,15
Renault Fluence 1.5 dCi Extreme,Renault,renault fluence dci extreme,0
Honda Civic 1.6 i ES,Honda,honda civic es,17
Skoda SuperB 1.6 TDI Style,Skoda,skoda superb tdı style,7
Volkswagen Jetta 1.6 TDi Highline,Volkswagen,volkswagen jetta tdi highline,6
Renault Clio 1.5 dCi Authentique,Renault,renault clio dci authentique,0
Volkswagen Jetta 1.6 TDi Comfortline,Volkswagen,volkswagen jetta tdi comfortline,6
Renault Megane 1.3 TCe Joy Comfort,Renault,renault megane tce joy comfort,0
Honda Civic 1.6 i-VTEC Elegance,Honda,honda civic vtec elegance,17
Volvo S90 2.0 D5 Inscription,Volvo,volvo s d ınscription,25
Mercedes - Benz E 200 Kompressor Avantgarde,Mercedes - Benz,mercedes benz kompressor avantgarde,11
Opel Corsa 1.4 Swing,Opel,opel corsa swing,9
Volkswagen Jetta 1.4 TSi BlueMotion Highline,Volkswagen,volkswagen jetta tsi bluemotion highline,6
Honda Jazz 1.4 ES Elite,Honda,honda jazz es elit,17
BMW 2 Serisi 216d Active Tourer,BMW,bmw seri d active tourer,12
Audi A4 Sedan 1.8 TFSI,Audi,audi seda tfsı,15
Renault Clio 1.5 dCi Alize,Renault,renault clio dci alize,0
Ford Fiesta 1.5 TDCi Trend X,Ford,ford fiesta tdci trend x,2
Ford Fiesta 1.5 TDCi Trend X,Ford,ford fiesta tdci trend x,2
Renault Clio 1.5 dCi Icon,Renault,renault clio dci ıcon,0
Volvo S60 1.6 D,Volvo,volvo s d,25
Peugeot 301 1.6 HDi Allure,Peugeot,peugeot hdi allure,5
Peugeot 301 1.6 HDi Allure,Peugeot,peugeot hdi allure,5
Seat Leon 1.4 TSI Style,Seat,seat leon tsı style,14
Volvo S60 2.0 B5 Inscription Plus,Volvo,volvo s b ınscription plus,25
Renault Symbol 1.5 dCi Joy,Renault,renault symbol dci joy,0
Fiat Linea 1.3 Multijet Active,Fiat,fiat linea multijet active,1
Skoda SuperB 1.5 TSI Premium,Skoda,skoda superb tsı premium,7
Peugeot 508 1.5 BlueHDI Allure,Peugeot,peugeot bluehdı allure,5
Honda Jazz 1.4 ES Elite,Honda,honda jazz es elit,17
Honda Accord 2.0 Executive,Honda,honda accord executive,17
Volkswagen Golf 1.6 TDi BlueMotion Midline Plus,Volkswagen,volkswagen golf tdi bluemotion midline plus,6
Volkswagen Polo 1.2 TDi Trendline,Volkswagen,volkswagen polo tdi trend,6
Hyundai i20 1.2 MPI Style,Hyundai,hyundai mpı style,8
Volvo S60 1.5 T3 Advance,Volvo,volvo s t advance,25
Opel Corsa 1.3 CDTI Enjoy 111,Opel,opel corsa cdtı enjoy,9
Volvo S40 1.6 D Dynamic,Volvo,volvo s d dynamic,25
Hyundai i20 1.4 CRDi Sense,Hyundai,hyundai crdi,8
Tofaş Şahin 5 Vites,Tofaş,tofaş şahin vites,4
Ford Focus 1.6 Ghia,Ford,ford focus ghia,2
Hyundai Accent 1.3 LS,Hyundai,hyundai accent ls,8
Opel Corsa 1.7 DTi Comfort,Opel,opel corsa dti comfort,9
Honda City 1.5 i-VTEC Executive,Honda,honda city vtec executive,17
Fiat Albea 1.2 SL,Fiat,fiat albea sl,1
Opel Astra 1.6 Classic Twinport,Opel,opel astra classic twinport,9
BMW 5 Serisi 525d xDrive Premium,BMW,bmw seri d xdrive premium,12
Toyota Yaris 1.4 D-4D Terra,Toyota,toyota yaris d d terra,13
Peugeot 407 1.6 HDi Executive,Peugeot,peugeot hdi executive,5
Volvo S60 1.6 D Advance,Volvo,volvo s d advance,25
Opel Astra 1.6 Essentia Konfor,Opel,opel astra essentia konfor,9
Ford C-Max 1.6 TDCi Trend,Ford,ford c max tdci trend,2
Fiat Egea 1.4 Fire Easy Plus,Fiat,fiat egea fire easy plus,1
Kia Rio 1.25 CVVT Elegance Tekno,Kia,kia rio cvvt elegance tekno,16
Tofaş Şahin 1.6 ie,Tofaş,tofaş şahin ie,4
Renault Clio 0.9 TCe Sport Tourer Joy,Renault,renault clio tce sport tourer joy,0
Volkswagen Polo 1.4 Comfortline,Volkswagen,volkswagen polo comfortline,6
Toyota Corolla 1.6 Vision,Toyota,toyota corolla vision,13
Mercedes - Benz E 250 CDI Premium,Mercedes - Benz,mercedes benz cdı premium,11
Opel Corsa 1.2 Twinport Essentia,Opel,opel corsa twinport essentia,9
Ford Fiesta 1.4 TDCi Titanium X,Ford,ford fiesta tdci titanium x,2
Renault Fluence 1.5 dCi Icon,Renault,renault fluence dci ıcon,0
Kia Picanto 1.0 MPI,Kia,kia picanto mpı,16
Fiat Egea 1.3 Multijet Easy,Fiat,fiat egea multijet easy,1
Renault Clio 1.2 Joy,Renault,renault clio joy,0
Fiat Egea 1.3 Multijet Easy,Fiat,fiat egea multijet easy,1
Peugeot 301 1.6 HDi Active,Peugeot,peugeot hdi active,5
Toyota Corolla 1.6 XEi,Toyota,toyota corolla xei,13
Volkswagen Polo 1.6 TDi Comfortline,Volkswagen,volkswagen polo tdi comfortline,6
Volkswagen Golf 1.6 TDi BlueMotion Comfortline,Volkswagen,volkswagen golf tdi bluemotion comfortline,6
Opel Astra 1.4 T Sport,Opel,opel astra t sport,9
Ford Mondeo 1.6 TDCi Titanium,Ford,ford mondeo tdci titanium,2
Audi A3 Cabrio 1.4 TFSI Attraction,Audi,audi cabrio tfsı attraction,15
Ford Escort 1.6 CLX,Ford,ford escort clx,2
Fiat Albea Sole 1.3 Multijet Premio,Fiat,fiat albea sol multijet premio,1
Fiat Linea 1.3 Multijet Emotion,Fiat,fiat linea multijet emotion,1
Honda Civic 1.6 i-VTEC Elegance,Honda,honda civic vtec elegance,17
Audi A3 Sedan 1.6 TDI Design Line,Audi,audi seda tdı design line,15
Volkswagen Passat 1.6 FSi Comfortline,Volkswagen,volkswagen passat fsi comfortline,6
Tofaş Şahin 1.6 ie,Tofaş,tofaş şahin ie,4
Volkswagen Polo 1.4 Comfortline,Volkswagen,volkswagen polo comfortline,6
Mercedes - Benz E 250 CDI Premium,Mercedes - Benz,mercedes benz cdı premium,11
Toyota Corolla 1.6 Vision,Toyota,toyota corolla vision,13
Opel Corsa 1.2 Twinport Essentia,Opel,opel corsa twinport essentia,9
Ford Fiesta 1.4 TDCi Titanium X,Ford,ford fiesta tdci titanium x,2
Renault Fluence 1.5 dCi Icon,Renault,renault fluence dci ıcon,0
Renault Clio 1.2 Joy,Renault,renault clio joy,0
Kia Picanto 1.0 MPI,Kia,kia picanto mpı,16
Fiat Egea 1.3 Multijet Easy,Fiat,fiat egea multijet easy,1
Fiat Egea 1.3 Multijet Easy,Fiat,fiat egea multijet easy,1
Peugeot 301 1.6 HDi Active,Peugeot,peugeot hdi active,5
Toyota Corolla 1.6 XEi,Toyota,toyota corolla xei,13
Volkswagen Polo 1.6 TDi Comfortline,Volkswagen,volkswagen polo tdi comfortline,6
Opel Astra 1.4 T Sport,Opel,opel astra t sport,9
Volkswagen Golf 1.6 TDi BlueMotion Comfortline,Volkswagen,volkswagen golf tdi bluemotion comfortline,6
Ford Escort 1.6 CLX,Ford,ford escort clx,2
Audi A3 Cabrio 1.4 TFSI Attraction,Audi,audi cabrio tfsı attraction,15
Ford Mondeo 1.6 TDCi Titanium,Ford,ford mondeo tdci titanium,2
Fiat Albea Sole 1.3 Multijet Premio,Fiat,fiat albea sol multijet premio,1
Fiat Linea 1.3 Multijet Emotion,Fiat,fiat linea multijet emotion,1
Honda Civic 1.6 i-VTEC Elegance,Honda,honda civic vtec elegance,17
Audi A3 Sedan 1.6 TDI Design Line,Audi,audi seda tdı design line,15
Volkswagen Golf 1.6 TDi BlueMotion Comfortline,Volkswagen,volkswagen golf tdi bluemotion comfortline,6
Volkswagen Golf 1.6 TDi BlueMotion Comfortline,Volkswagen,volkswagen golf tdi bluemotion comfortline,6
Volkswagen Passat 1.6 FSi Comfortline,Volkswagen,volkswagen passat fsi comfortline,6
Renault Fluence 1.5 dCi Touch Plus,Renault,renault fluence dci touch plus,0
Hyundai Getz 1.4 DOHC HY KLM,Hyundai,hyundai getz dohc hy klm,8
Skoda SuperB 1.9 TDI Elegance,Skoda,skoda superb tdı elegance,7
Audi A6 Sedan 2.0 TFSI Quattro,Audi,audi seda tfsı quattro,15
Fiat Linea 1.6 Multijet Lounge,Fiat,fiat linea multijet lounge,1
Audi A3 Sedan 1.6 TDI Design Line,Audi,audi seda tdı design line,15
Fiat Egea 1.4 Fire Easy,Fiat,fiat egea fire easy,1
BMW 5 Serisi 520d Premium,BMW,bmw seri d premium,12
Fiat Albea 1.2 Active,Fiat,fiat albea active,1
Hyundai Accent Era 1.4 Team,Hyundai,hyundai accent era team,8
Renault Symbol 1.5 dCi Joy,Renault,renault symbol dci joy,0
Renault R 11 Flash,Renault,renault r flash,0
Peugeot 307 1.6 Comfort,Peugeot,peugeot comfort,5
Volkswagen Passat Variant 1.4 TSi BlueMotion Comfortline,Volkswagen,volkswagen passat variant tsi bluemotion comfortline,6
Mercedes - Benz E 200 d AMG,Mercedes - Benz,mercedes benz d amg,11
BMW 2 Serisi 216d Gran Coupe First Edition Sport Line,BMW,bmw seri d gran coupe first edition sport line,12
Renault Megane 1.5 dCi Exception,Renault,renault megane dci exception,0
Fiat Linea 1.3 Multijet Urban,Fiat,fiat linea multijet urban,1
Opel Astra 1.6 Edition Plus,Opel,opel astra edition plus,9
Hyundai i20 1.0 T-GDI Style,Hyundai,hyundai t gdı style,8
Fiat Egea 1.3 Multijet Easy,Fiat,fiat egea multijet easy,1
Peugeot 206 1.4 HDi XR,Peugeot,peugeot hdi xr,5
Skoda Fabia 1.6 TDI Optimal,Skoda,skoda fabia tdı optimal,7
Fiat Siena 1.2 S,Fiat,fiat siena s,1
Mercedes - Benz CLC 160 BlueEFFICIENCY,Mercedes - Benz,mercedes benz clc blueeffıcıency,11
Chery Kimo 1.3 Lusso,Chery,chery kimo lusso,27
Fiat Egea 1.3 Multijet Easy Plus,Fiat,fiat egea multijet easy plus,1
Opel Corsa 1.2 Enjoy,Opel,opel corsa enjoy,9
Mercedes - Benz 280 SE,Mercedes - Benz,mercedes benz se,11
Mercedes - Benz E 200 d,Mercedes - Benz,mercedes benz d,11
Hyundai Getz 1.5 CRDi VGT,Hyundai,hyundai getz crdi vgt,8
Opel Astra 1.3 CDTI Enjoy 111.Yıl,Opel,opel astra cdtı enjoy yıl,9
Kia Sephia 1.5 LX,Kia,kia sephia lx,16
Renault Clio 1.5 dCi Touch,Renault,renault clio dci touch,0
Hyundai i20 1.4 CRDi Jump,Hyundai,hyundai crdi jump,8
Peugeot 307 1.6 HDi Premium,Peugeot,peugeot hdi premium,5
Renault Clio 1.5 dCi Joy,Renault,renault clio dci joy,0
Opel Corsa 1.3 CDTI Enjoy,Opel,opel corsa cdtı enjoy,9
Opel Corsa 1.3 CDTI Enjoy,Opel,opel corsa cdtı enjoy,9
Renault Megane 1.5 Blue DCI Icon,Renault,renault megane blue dcı ıcon,0
BMW 5 Serisi 525d xDrive Luxury Line,BMW,bmw seri d xdrive luxury line,12
Ford Fiesta 1.25 Trend X,Ford,ford fiesta trend x,2
Volvo S40 1.6 D Dynamic,Volvo,volvo s d dynamic,25
BMW 3 Serisi 320d Premium Line,BMW,bmw seri d premium line,12
Fiat Siena 1.6 HL,Fiat,fiat siena hl,1
Ford Fiesta 1.25 Trend X,Ford,ford fiesta trend x,2
Ford Focus 1.6 TDCi Trend X,Ford,ford focus tdci trend x,2
Honda Civic 1.6 i-VTEC Eco Executive,Honda,honda civic vtec eco executive,17
Audi A5 Sportback 2.0 TDI,Audi,audi sportback tdı,15
Opel Astra 1.3 CDTI Sport,Opel,opel astra cdtı sport,9
Tofaş Kartal 5 Vites,Tofaş,tofaş kartal vites,4
Renault Megane 1.5 dCi Dynamique,Renault,renault megane dci dynamique,0
BMW 5 Serisi 520i Standart,BMW,bmw seri standart,12
Opel Corsa 1.4 Enjoy,Opel,opel corsa enjoy,9
Opel Astra 1.6 CD,Opel,opel astra cd,9
Opel Astra 1.6 Edition,Opel,opel astra edition,9
Seat Leon 1.6 TDI Style,Seat,seat leon tdı style,14
Opel Vectra 1.6,Opel,opel vectra,9
Opel Meriva 1.6 Essentia,Opel,opel meriva essentia,9
Renault Fluence 1.5 dCi Extreme Edition,Renault,renault fluence dci extreme edition,0
Ford C-Max 1.6 TDCi Ghia,Ford,ford c max tdci ghia,2
Renault Megane 1.5 dCi Grandtour Authentique,Renault,renault megane dci grandtour authentique,0
Seat Ibiza 1.2 TSI Reference,Seat,seat ıbiza tsı referen,14
Opel Astra 1.6 Essentia Konfor,Opel,opel astra essentia konfor,9
Renault R 9 1.4 Broadway RNi,Renault,renault r broadway rni,0
Citroen C-Elysee 1.6 HDi Confort,Citroen,citroen c elysee hdi confort,3
Renault Clio 1.5 dCi Icon,Renault,renault clio dci ıcon,0
Opel Astra 1.4 GL,Opel,opel astra gl,9
Ford Focus 1.6 TDCi Comfort,Ford,ford focus tdci comfort,2
Opel Astra 1.6 CDTI Sport,Opel,opel astra cdtı sport,9
Ford Fiesta 1.4 TDCi Titanium,Ford,ford fiesta tdci titanium,2
Volkswagen Polo 1.2 TSi Comfortline,Volkswagen,volkswagen polo tsi comfortline,6
Peugeot 301 1.6 HDi Allure,Peugeot,peugeot hdi allure,5
Ford Fiesta 1.5 TDCi Trend,Ford,ford fiesta tdci trend,2
Peugeot 301 1.6 HDi Active,Peugeot,peugeot hdi active,5
Renault Symbol 1.5 dCi Joy,Renault,renault symbol dci joy,0
Toyota Corolla 1.4 D-4D Class,Toyota,toyota corolla d d class,13
Tofaş Şahin 1.6,Tofaş,tofaş şahin,4
Opel Astra 1.6 CD,Opel,opel astra cd,9
Fiat Albea 1.3 Multijet EL,Fiat,fiat albea multijet el,1
Volvo S40 1.8,Volvo,volvo s,25
Fiat Tipo 1.6 S,Fiat,fiat tipo s,1
BMW 3 Serisi 320i ED Luxury Line,BMW,bmw seri ed luxury line,12
Renault Clio 1.5 dCi Joy,Renault,renault clio dci joy,0
Volkswagen Polo 1.6,Volkswagen,volkswagen polo,6
Honda Civic 1.4 1.4i,Honda,honda civic,17
Fiat Palio 1.4 EL,Fiat,fiat palio el,1
Hyundai Accent Blue 1.6 CRDI Mode Plus,Hyundai,hyundai accent blue crdı mode plus,8
Renault Megane 1.5 dCi Extreme,Renault,renault megane dci extreme,0
Renault R 19 1.6 Europa RT,Renault,renault r europa rt,0
Ford Focus 1.6 TDCi Trend X,Ford,ford focus tdci trend x,2
Mitsubishi Carisma 1.6 GLX,Mitsubishi,mitsubishi carisma glx,28
Renault R 9 1.4 Broadway,Renault,renault r broadway,0
Opel Corsa 1.3 CDTI Essentia,Opel,opel corsa cdtı essentia,9
Volkswagen Golf 1.4 TSi Highline,Volkswagen,volkswagen golf tsi highline,6
Audi A3 Sportback 1.6 Ambiente,Audi,audi sportback ambiente,15
Skoda Fabia 1.4 Special,Skoda,skoda fabia special,7
Volkswagen Jetta 1.4 TSi Midline,Volkswagen,volkswagen jetta tsi midline,6
Skoda Fabia 1.4 Special,Skoda,skoda fabia special,7
Fiat Albea 1.3 Multijet EL,Fiat,fiat albea multijet el,1
Fiat Punto Grande 1.4 Fire Active,Fiat,fiat punto grande fire active,1
Hyundai i20 1.2 MPI Style,Hyundai,hyundai mpı style,8
Volkswagen Scirocco 1.4 TSi Sportline,Volkswagen,volkswagen scirocco tsi sportline,6
Honda Civic 1.6 i-VTEC ECO Elegance,Honda,honda civic vtec eco elegance,17
Dacia Sandero 1.5 dCi Stepway,Dacia,dacia sandero dci stepway,19
Skoda Fabia 1.2 Classic,Skoda,skoda fabia classic,7
Opel Astra 1.3 CDTI Enjoy,Opel,opel astra cdtı enjoy,9
Toyota Avensis 2.0 D-4D Premium,Toyota,toyota avensis d d premium,13
Renault Symbol 1.5 dCi Joy,Renault,renault symbol dci joy,0
Renault Megane 1.6 Dynamique,Renault,renault megane dynamique,0
Citroen C3 1.4 HDi X,Citroen,citroen c hdi x,3
Seat Toledo 1.8 Signo,Seat,seat toledo signo,14
Volvo S40 1.6 D,Volvo,volvo s d,25
Renault Clio 1.2 Extreme,Renault,renault clio extreme,0
Toyota Corolla 1.6 Advance,Toyota,toyota corolla advance,13
Fiat Punto Grande 1.3 Multijet,Fiat,fiat punto grande multijet,1
Ford C-Max 1.6 TDCi Titanium X,Ford,ford c max tdci titanium x,2
Renault R 19 1.6 Europa RTE,Renault,renault r europa rte,0
Opel Corsa 1.3 CDTI Cosmo,Opel,opel corsa cdtı cosmo,9
Opel Corsa 1.3 CDTI Enjoy,Opel,opel corsa cdtı enjoy,9
Fiat Punto Grande 1.3 Multijet,Fiat,fiat punto grande multijet,1
Ford C-Max 1.6 TDCi Titanium X,Ford,ford c max tdci titanium x,2
Renault R 19 1.6 Europa RTE,Renault,renault r europa rte,0
Opel Corsa 1.3 CDTI Cosmo,Opel,opel corsa cdtı cosmo,9
